file,collection_label,target,loo_genuine_probability,loo_prediction,duration_s,sample_rate_hz,cadence_bpm,periodicity,spectral_entropy,accel_mag_mean,accel_mag_std,accel_mag_p10,accel_mag_p90,accel_mag_rms,gyro_mag_mean,gyro_mag_std,gyro_mag_p10,gyro_mag_p90,gyro_mag_rms
gait_20260919_215813_andrew_normal_1.csv,normal_1,genuine,0.9759689301948026,genuine,29.001250865869224,99.16813634354942,103.37698139214336,0.06947832104060818,0.736536847415356,10.824020584380655,3.7408006110567578,6.813941451795058,15.819469622054738,11.452205500373225,1.7973913999020443,1.3271121902308958,0.6153621635094371,3.4663423330878618,2.2342431850408038
gait_20260919_215853_andrew_normal_2.csv,normal_2,genuine,0.9793198087690644,genuine,28.38576001022011,99.1694426707785,107.74647887323943,0.11105667954577216,0.7169747382581312,11.088336271524494,4.4608312200235565,6.6362912028904795,16.990257746371388,11.951996337179098,1.8838205430083426,1.3958954776615093,0.48579735566790927,3.753707043638995,2.344633025190957
gait_20260919_215933_andrew_normal_3.csv,normal_3,genuine,0.9883998172829976,genuine,29.54538846993819,99.16945255200193,103.51826792963465,0.10521297935356295,0.7014333275872623,10.884629171121189,3.6702074372224223,6.81943994245317,15.734396359456435,11.486756497160767,1.8652835268177594,1.286761561417896,0.5641206183120947,3.643591979385255,2.266062212597068
gait_20260919_220137_andrew_normal_4.csv,normal_4,genuine,0.9585476322417232,genuine,26.369455995969474,99.16776441651653,109.17361637604245,0.0798274405664316,0.73832305158511,11.240623785537545,4.460808153514508,6.4112841953419775,17.030837050225543,12.093404502887262,2.1058180418348416,1.4760154466904358,0.6594202467036784,3.786168790456291,2.5715931295961054
gait_20260919_222050_andrew_normal_5.csv,normal_5,genuine,0.9578297362612893,genuine,28.236424942035228,52.2020759719363,104.10764872521247,0.08904459522821864,0.7040627794280664,11.126317168302199,4.285667061718863,6.743101154538441,16.45818266791502,11.923165514810162,1.935162458888514,1.4819266758899154,0.4719783312778204,3.782677745019958,2.4374085449521123
gait_20260919_222211_andrew_fast_1.csv,fast_1,genuine,0.9792310949121495,genuine,24.928490962833166,75.69651940879213,122.69446672012832,0.142782550796839,0.663915091222452,12.411736752889707,6.1212329708174185,6.392294451477923,21.74088141212687,13.839100487605954,2.7297437270057427,1.736156328770325,0.6637630232262776,5.223262544379973,3.2350795373617105
gait_20260919_222300_andrew_fast_2.csv,fast_2,genuine,0.9304619080191335,genuine,23.698714792262763,52.3235125140558,121.51898734177216,0.19728072134707308,0.6575801289797393,12.361074061871959,6.205056963583848,6.184069746735542,20.963216471533922,13.8310839735866,2.7616557788559706,1.8143033145018734,0.5133984204534136,5.215884105102908,3.304306153778893
gait_20260919_222328_andrew_fast_3.csv,fast_3,genuine,0.9163263512374904,genuine,23.940498393028975,50.75082314718165,127.71285475792988,0.1269663861355039,0.6839029593705203,12.499069192687337,6.3869252163490255,5.7535652699188935,21.461051298887757,14.036365070872899,2.889748340391127,1.86804135502544,0.6074365972806665,5.4070698052689945,3.440962652351599
gait_20260919_222401_andrew_slow_1.csv,slow_1,genuine,0.5026200379059353,genuine,22.3065363666974,51.913034859541845,80.64516129032258,0.12255458636274523,0.6985386677890338,10.433851325909867,3.042469591047895,7.784884177967244,13.873603234047911,10.868388781399121,1.5457139481815534,1.6019782686270116,0.35208172986888114,3.313320270892808,2.2261100562991496
gait_20260919_222427_andrew_slow_2.csv,slow_2,genuine,0.8129257657669096,genuine,22.710033368784934,51.651179060454176,84.50704225352113,0.11181291442060244,0.6651999754308499,10.393831230514653,3.3895971337115536,7.16737687224873,13.703740296576397,10.932570437792172,1.6347204095690633,1.5903343772320326,0.39984692560722057,3.6459326002763652,2.280674077738343
gait_20260919_222452_andrew_slow_3.csv,slow_3,genuine,0.5124218603884455,genuine,24.535465378314257,51.23196078078075,73.34963325183375,0.10954693108958019,0.7205137221875721,10.405468957100826,3.155188718718633,7.9129506745473535,13.676632524991492,10.87331596468705,1.5394053746085525,1.5781215341870733,0.37167241380908933,3.759741969244341,2.2045944035215777
gait_20260919_222536_andrew_normal_upside_down_1.csv,normal_upside_down_1,genuine,0.9810625817195915,genuine,30.565417489036918,51.75784039486539,109.87573577501634,0.10279374554760498,0.6919965703953327,10.498635412240326,3.5208101490858095,6.532569096746962,14.971568723018281,11.073276372648353,1.7872389594134435,1.2451657193121786,0.46087669681411536,3.474426922756202,2.178224223213823
gait_20260919_222612_andrew_normal_upside_down_2.csv,normal_upside_down_2,genuine,0.9597899005832202,genuine,31.53368421504274,51.84931734744918,108.43373493975905,0.07655550303186243,0.7185178334452936,10.645154658078672,3.6473074572764705,6.848813875826689,14.850456744770444,11.252651660045228,1.8176360025231852,1.3168483696963593,0.34985062141205525,3.6366962006886423,2.2445245078725304
gait_20260919_222647_andrew_normal_upside_down_3.csv,normal_upside_down_3,genuine,0.9881893244078725,genuine,31.52332529379055,51.04156953635028,104.62904248573241,0.11861475821696064,0.6814153418504905,10.711061294772875,3.751059902036808,6.908512932325388,15.343882949511977,11.348889128414726,1.9531527721276314,1.2979520607414086,0.6359284931223714,3.7966260931160614,2.3450981436291145
